Material,Description,Available,UOM,Area,Section,Bin,Location Text,Tracking Cd,Text,MANUFACTURER
13720923,"VALVE,CK,SWING,600#,RF,TR.12,A352-LCC,2""",5,EA,A,,R02L09,"TOTE 82,83,84,85,86",CF06L01205,"VALVE, CHECK, SWING, LOW TEMPERATURE CARBON STEEL, 2 IN, CLASS 600, API TRIM 12, FLANGED END, ASTM A352, GR LCC, RAISED FACE",TY
13720935,"VALVE,GATE,600#,RF,TR.12,A352-LCC,2""",5,EA,A,,R02K04,,GF06L01205,"VALVE, GATE, 2 IN, LOW TEMPERATURE CARBON STEEL, CLASS 600, API TRIM 12, FLANGED END, ASTM A352, GR LCC, RAISED FACE",TY
13720951,"VALVE,GATE,800#,SW,TR.12,A350-LF2-1,1""",10,EA,A,,R02L06,"TOTE 55,56",GS08L01205,"VALVE, GATE, 1 IN, LOW TEMPERATURE CARBON STEEL, CLASS 800, API TRIM 12, SOCKET WELD, ASTM A350, GR LF2 CL 1",OMB
13720954,"VALVE,GATE,800#,SW,TR.12,A350-LF2-1,3/4""",18,EA,A,,R02L02,"TOTE 12,13,14,15",GS08L01205,"VALVE, GATE, 3/4 IN, LOW TEMPERATURE CARBON STEEL, CLASS 800, API TRIM 12, SOCKET WELD, ASTM A350, GR LF2 CL 1","OMB, VELAN"
13721457,"VALVE,GATE,RF,8"",CL600,A216WCB,T12,NACE",1,EA,A,,R02I04,,GF06S01203,"VALVE, GATE, 8 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, GEAR OPERATED, RAISED FACE, NACE",TY
13721457,"VALVE,GATE,RF,8"",CL600,A216WCB,T12,NACE",1,EA,A,,R02I05,,GF06S01203,"VALVE, GATE, 8 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, GEAR OPERATED, RAISED FACE, NACE",TY
13721458,"VALVE,GATE,RF,10"",CL600,A216WCB,T12,NACE",1,EA,A,,R03D01,,GF06S01203,"VALVE, GATE, 10 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, GEAR OPERATED, RAISED FACE, NACE",TY
13721459,"VALVE,GATE,RF,12"",CL600,A216WCB,T12,NACE",1,EA,A,,R03D02,,GF06S01203,"VALVE, GATE, 12 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, GEAR OPERATED, RAISED FACE, NACE",TY
13721463,"VALVE,GATE,RF,20"",CL600,A216WCB,T12,NACE",1,EA,A,,EAST SIDE,EAST SIDE OF TENT,GF06S01203,"VALVE, GATE, 20 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, GEAR OPERATED, RAISED FACE, NACE",TY
13721469,"VALVE,GATE,RF,6"",CL600,A216WCB,T12,NACE",5,EA,A,,R02H01,,VALVE,"VALVE, GATE, 6 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, RAISED FACE, NACE",
13721469,"VALVE,GATE,RF,6"",CL600,A216WCB,T12,NACE",5,EA,A,,R02H06,,VALVE,"VALVE, GATE, 6 IN, CLASS 600, API TRIM 12, ASTM A216, GR WCB, RAISED FACE, NACE",
13721470,"VALVE,GATE,RJ,2"",CL1500,T12,A216WCB,NACE",1,EA,A,,R02K01,,GF06S01203,"VALVE, GATE, 2 IN, CLASS 1500, API TRIM 12, RING TYPE JOINT, ASTM A216, GR WCB, NACE",TY
13721475,"VALVE,GLOBE,RF,6"",CL600,T12,A216WCB,NACE",1,EA,A,,R02I01,,TF06S01203,"VALVE, GLOBE, 6 IN, CLASS 600, API TRIM 12, RAISED FACE, ASTM A216, GR WCB, NACE",TY
13721836,"VALVE,SWING CK,4"",A216WCB,CL300,RF,T12",1,EA,A,,R02K09,,CF03S01203,"VALVE, CHECK, SWING, 4 IN, CLASS 300, FLANGED ENDS, RAISED FACE, API TRIM 12, ASME B16.34, ASTM A216, GRADE WCB, NACE",TY
13721837,"VALVE,SWING CK,6"",A216WCB,CL300,RF,T12",2,EA,A,,R02J03,,CF03S01203,"VALVE, CHECK, SWING, 6 IN, CLASS 300, FLANGED ENDS, RAISED FACE, API TRIM 12, ASME B16.34, ASTM A216, GRADE WCB, NACE",TY
13721849,"VALVE,GATE,6"",A216WCB,CL300,RF,T12,NACE",1,EA,A,,R02J07,,GF03S01203,"VALVE, GATE, 6 IN, CLASS 300, FLANGED ENDS, RAISED FACE, API TRIM 12, ASME B16.34, ASTM A216, GRADE WCB, API 600, NACE",TY
13721850,"VALVE,GATE,8"",A216WCB,CL300,RF,T12,NACE",1,EA,A,,EAST SIDE,EAST SIDE OF TENT,GF03S01203,"VALVE, GATE, 8 IN, CLASS 300, FLANGED ENDS, RAISED FACE, API TRIM 12, ASME B16.34, ASTM A216, GRADE WCB, API 600, NACE",TY
13721852,"VALVE,GATE,12"",300#,RF,TR 12,GO,A216-WCB",1,EA,A,,R03C02,,GF03S01203,"VALVE, GATE, 12 IN, CLASS 300, API TRIM 12, FLANGED, ASTM A216, GRADE WCB, BOLTED BONNET, OS&Y, REGULAR PORT, ASME B16.5, ASME B16.34, GEAR OPERATOR, RAISED FACE, WITH GRAPHITE PACKING, NACE MR0175/ISO 15156 , INTEGRAL SEAT/WELDED ON HARD FACED SEAT, FLEX",TY
13721853,"VALVE,GATE,14"",A216WCB,CL300,RF,T12,GO",1,EA,A,,R03C01,,GF03S01203,"VALVE, GATE, 14 IN, CLASS 300, FLANGED ENDS, GEAR OPERATOR, RAISED FACE, API TRIM 12, ASME B16.34, ASTM A216, GRADE WCB, API 600, NACE MR0175/ISO 15156",TY
13721863,"VALVE,GLOBE,4"",A216WCB,CL300,RF,T12,NACE",1,EA,A,,R02J01,,TF03S01203,"VALVE, GLOBE, 4 IN, CLASS 300, FLANGED ENDS, RAISED FACE, API TRIM 12, ASME B16.34, ASTM A216, GRADE WCB, API 600, NACE",TY
13726225,"VALVE,GATE,2"",150#,RF,TR 12,HW,A216-WCB",4,EA,A,,R02L11,TOTE 101 TO 110,GF01S01203,"VALVE, GATE, 2 IN, CARBON STEEL, CLASS 150, API TRIM 12, FLANGED, ASTM A216, GR WCB, OS&Y, REGULAR PORT, ASME B16.5, ASME B16.34, HANDWHEEL OPERATOR, RAISED FACE, WITH GRAPHITE PACKING, NACE MR0175/ISO 15156 , INTEGRAL SEAT/WELDED ON HARD FACED SEAT, FLEX",
13726263,"VALVE,CHK,0.75"",CL800,SW,T12,A105N,NACE",1,EA,A,,R02L01,TOTE 8,CS08S21203,"VALVE, PISTON CHECK, 3/4 IN, CARBON STEEL, CLASS 800, SOCKET WELD, API TRIM 12, ASTM A105N, NACE",OMB
13726264,"VALVE,CHK,1"",CL800,SW,TR.12,A105N,NACE",1,EA,A,,R02L07,TOTE 63,CS08S21203,"VALVE, PISTON CHECK, 1 IN, CARBON STEEL, CLASS 800, SOCKET WELD, API TRIM 12, ASTM A105N, NACE",OMB
13728098,"VALVE,SWING CK,12"",CL150,RF,T5,A216WCB",1,EA,A,,R03H02,,CF01V00501,"VALVE, CHECK, SWING, 12 IN X 12 IN, CLASS 150, RAISED FACE, API TRIM 5, STANDARD PORT, ASTM A216, GRADE WCB, W/ BOLTED COVER , API 600, ASME B16.5 / B16.34, INTEGRAL SEAT/WELDED ON HARD FACED SEAT",TY
13728119,"VALVE,GATE,24"",CL150,RF,T5,A216WCB,GO",1,EA,A,,EAST SIDE,EAST SIDE OF TENT,GF01V00501,"VALVE, GATE, 24 IN, CLASS 150, RAISED FACE, GEAR OPERATOR, OS&Y, API TRIM 5, REGULAR PORT, ASTM A216, GRADE WCB, BOLTED BONNET, W/ GRAPHITE PACKING , API 600, ASME B16.5, ASME B16.34, INTEGRAL SEAT/WELDED ON HARD FACED SEAT, FLEXIBLE WEDGE/SOLID WEDGE",TY
13728122,"VALVE,GATE,2"",CL300,RF,T5,A216WCB",4,EA,A,,R02K02,"TOTE 121,122,123,124,125",GF03V00501,"VALVE, GATE, 2 IN X 2 IN, CL300, RAISED FACE, OS&Y, API TRIM 5, REGULAR PORT, ASTM A216, GRADE WCB, BOLTED BONNET, W/ GRAPHITE PACKING , API 600, ASME B16.5, ASME B16.34, INTEGRAL SEAT/WELDED ON HARD FACED SEAT, FLEXIBLE WEDGE/SOLID WEDGE","TY, VELAN"
13728123,"VALVE,GATE,3"",CL300,RF,T5,A216WCB",1,EA,A,,R02K06,,GF03V00501,"VALVE, GATE, 3 IN X 3 IN, CL300, RAISED FACE, OS&Y, API TRIM 5, REGULAR PORT, ASTM A216, GRADE WCB, BOLTED BONNET, W/ GRAPHITE PACKING , API 600, ASME B16.5, ASME B16.34, INTEGRAL SEAT/WELDED ON HARD FACED SEAT, FLEXIBLE WEDGE/SOLID WEDGE",TY
13728139,"VALVE,BALL,RF,6"",A216-WCB,150#,PTFE SEAT",1,EA,A,,R02J02,,BF01A00A01,"VALVE, BALL, FLOATING, FLANGED END, CLASS 150, 316 STAINLESS STEEL BALL/STEM, ASTM A216, GR WCB, 6 IN, PTFE SEAT, RAISED FACE, ASME B16.10, API 607",VELAN
13728165,"VALVE,CK,SWING,CL150,A216-WCB,RF,4""",1,EA,A,,R02K09,,CF01A00801,"VALVE, CHECK, SWING, CARBON STEEL, 4 IN, CLASS 150, API TRIM 8, FLANGED END, ASTM A216, GR WCB, RAISED FACE, ASME B16.10, API 594",TY
13728193,"VALVE,GATE,CL300,RF,2"",A216-WCB",5,EA,A,,R02K01,"TOTE 115,116,117,118,119",GF03A00801,"VALVE, GATE, 2 IN, CARBON STEEL, CLASS 300, API TRIM 8, ASTM A216, GR WCB, RAISED FACE, ASME B16.10",TY
13728198,"VALVE,GATE,CL800,SW,1/2"",A105N,",1,EA,A,,R02L01,TOTE 1,GS08A00801,"VALVE, GATE, 1/2 IN, CARBON STEEL, CLASS 800, API TRIM 8, SOCKET WELD, ASTM A105N",OMB
13728200,"VALVE,GATE,CL800,SW,1"",A105N,",40,EA,A,,R02L05,"TOTE 41,42,43,44,45,46,47,48",GS08A00801,"VALVE, GATE, 1 IN, CARBON STEEL, CLASS 800, API TRIM 8, SOCKET WELD, ASTM A105N",OMB
13728201,"VALVE,GATE,CL800,SW,1 1/2"",A105N,",1,EA,A,,R02L06,"TOTE 50,51",GS08A00801,"VALVE, GATE, 1 1/2 IN, CARBON STEEL, CLASS 800, API TRIM 8, SOCKET WELD, ASTM A105N","OMB, VELAN"
13728202,"VALVE,GLOBE,2"",CL150,RF,T8,A216-WCB",1,EA,A,,R02L12,TOTE 113,TF01A00801,"VALVE, GLOBE, T PATTERN, 2 IN, CLASS 150, CARBON STEEL, API TRIM 8, RAISED FACE, ASTM A216, GR WCB, ASME B16.10",TY
13728206,"VALVE,GLOBE,CL800,SWE,TR8,1/2"",A105N",1,EA,A,,R02L01,TOTE 1,TS08A00801,"VALVE, GLOBE, T PATTERN, SOCKET WELD, 1/2 IN, CLASS 800, CARBON STEEL, API TRIM 8, ASTM A105N",OMB
13728208,"VALVE,GLOBE,CL800,SWE,TR8,1"",A105N",2,EA,A,,R02L07,TOTE 67,TS08A00801,"VALVE, GLOBE, T PATTERN, SOCKET WELD, 1 IN, CLASS 800, CARBON STEEL, API TRIM 8, ASTM A105N",OMB
13728209,"VALVE,GLOBE,CL800,SWE,TR8,1-1/2"",A105N",2,EA,A,,R02L05,TOTE 49,TS08A00801,"VALVE, GLOBE, T PATTERN, SOCKET WELD, 1 1/2 IN, CLASS 800, CARBON STEEL, API TRIM 8, ASTM A105N",OMB
13741270,"VALVE,GATE,RF,T5,6"",A216WCB,CL300,B16.10",1,EA,A,,R02J06,,GF03V00501,"VALVE, GATE, GATE, 6 IN, CLASS 300, API TRIM 5, RAISED FACE, ASTM A216 GR WCB, ASME B16.5 , BOLTED BONNET OS<(>&<)>Y INTEGRAL OR WELDED-IN HARD FACED SEATS GRAPHITE PACKING FLEXIBLE OR SOLID WEDGE REGULAR PORT API 600 ASME B16.34",
13741271,"VALVE,GATE,RF,T5,6"",A216WCB,CL300,REG",1,EA,A,,R02J08,,TF03V00501,"VALVE, GLOBE, RAISED FACE, 6 IN, CLASS 300, API TRIM 5, ASTM A216 GR WCB, ASME B16.5 , BOLTED BONNET OS<(>&<)>Y INTEGRAL OR WELDED-IN HARD FACED SEATS GRAPHITE PACKING T PATTERN API 600 ASME B16.34",TY
13741272,"VALVE,GATE,RF,T5,8"",A216WCB,CL300,B16.10",1,EA,A,,R02I06,,GF03V00501,"VALVE, GATE, GATE, 8 IN, CLASS 300, API TRIM 5, RAISED FACE, ASTM A216 GR WCB, ASME B16.5 , BOLTED BONNET OS<(>&<)>Y INTEGRAL OR WELDED-IN HARD FACED SEATS GRAPHITE PACKING FLEXIBLE OR SOLID WEDGE REGULAR PORT API 600 ASME B16.34",TY
13741281,"VALVE,SWING CK,RF,T5,2"",A216-WCB,CL300",1,EA,A,,R02L09,TOTE 89,CF03V00501,"VALVE, SWING CHECK, 2 IN, CLASS 300, RAISED FACE, API TRIM 5, ASTM A216 GR WCB, ASME B16.5 , BOLTED COVER INTEGRAL OR WELDED-IN HARD FACED SEATS STANDARD PORT SWING TYPE API 594 ASME B16.34",TY
13741286,"VALVE,SWING CK,RF,T5,6"",A216-WCB,CL300",1,EA,A,,R02J05,,CF03V00501,"VALVE, SWING CHECK, 6 IN, CLASS 300, RAISED FACE, API TRIM 5, ASTM A216 GR WCB, ASME B16.5 , BOLTED COVER INTEGRAL OR WELDED-IN HARD FACED SEATS STANDARD PORT SWING TYPE API 594 ASME B16.34",TY
13766052,"VALVE,GLOBE,T12,RF,2"",CL150,A352-LCC",1,EA,A,,R02L12,TOTE 112,TF01L01205,"VALVE, GLOBE, T PATTERN, FLANGED END, 2 IN, CLASS 150, LOW TEMPERATURE CARBON STEEL, BOLTED BONNET, OS&Y, API TRIM 12, RAISED FACE, ASME B16.25, ASTM A352, GR LCC, API 600, ASME B16.34, GRAPHITE PACKING , INTEGRAL SEAT/WELDED ON HARD FACED SEAT",TY
13808093,"VALVE,CNTL,16"",EUT,FISHER",1,EA,A,,EAST SIDE,EAST SIDE OF TENT,LV02061,"VALVE, CONTROL, FISHER CONTROLS INTL, EUT",FISHER
13808129,"VALVE,GATE,12"",CL1500,BW,GO,A216-WCB",1,EA,A,,EAST SIDE,EAST SIDE OF TENT,GB15V20504-C,"VALVE, GATE, 12 IN, SCH 160, CLASS 1500, API TRIM 5, BUTT WELD, ASTM A216, GR WCB, GEAR OPERATOR, WITH BYPASS ASSEMBLY",TY
13808129,"VALVE,GATE,12"",CL1500,BW,GO,A216-WCB",1,EA,A,,EAST SIDE,EAST SIDE OF TENT,GB15V20501,"VALVE, GATE, 12 IN, SCH 160, CLASS 1500, API TRIM 5, BUTT WELD, ASTM A216, GR WCB, GEAR OPERATOR, WITH BYPASS ASSEMBLY",TY
13808151,"VALVE,GATE,12"",300,T8,RF,GO,A216WCB",1,EA,A,,R03E01,,GF03A00801-C,"VALVE, GATE, 12 IN, CLASS 300, API TRIM 8, FLANGED, ASTM A216 GR WCB, GEAR OPERATOR, RAISED FACE",TY
13808152,"VALVE,GATE,10"",150,T12,RF,HW/LVR,A216WCB",1,EA,A,,R03B02,,GF01B01201,"VALVE, GATE, 10 IN, CLASS 150, API TRIM 12, FLANGED, ASTM A216 GR WCB, HAND WHEEL / LEVER OPERATOR, RAISED FACE",TY
13808153,"VALVE,GATE,10"",300,T8,RF,GO,A216WCB",1,EA,A,,R03A01,,GF03A00801-C,"VALVE, GATE, 10 IN, CLASS 300, API TRIM 8, FLANGED, ASTM A216 GR WCB, GEAR OPERATOR, RAISED FACE",TY
13808154,"VALVE,GATE,16"",150,T12,RF,GO,A216WCB,NAC",1,EA,A,,R03I02,,GF01S01203-C,"VALVE, GATE, 16 IN, CLASS 150, API TRIM 12, FLANGED, ASTM A216 GR WCB, GEAR OPERATOR, RAISED FACE, NACE",TY
13808155,"VALVE,GATE,8"",600,T8,RF,GO,A216WCB",1,EA,A,,R03J01,,GF06A00801-C,"VALVE, GATE, 8 IN, CLASS 600, API TRIM 8, FLANGED, ASTM A216 GR WCB, GEAR OPERATOR, RAISED FACE",TY
13808156,"VALVE,GATE,8"",600,T5,RF,GO,A216WCB",1,EA,A,,R03B01,,GF06V00501-C,"VALVE, GATE, 8 IN, CLASS 600, API TRIM 5, FLANGED, ASTM A216 GR WCB, GEAR OPERATOR, RAISED FACE",CRATED
13808157,"VALVE,CK,SWING,16"",600#,RF,A216-WCB",1,EA,A,,R03A02,,CF06A00801,"VALVE, CHECK, SWING, 16 IN, CLASS 600, API TRIM 8, FLANGED, ASTM A216 GR WCB, RAISED FACE",TY
13808158,"VALVE,GATE,12"",600,T8,RF,GO,Z245.15-05",1,EA,A,,R03E02,,GF07W00801-C,"VALVE, GATE, 12 IN, PN100, ASME CLASS 600, API TRIM 8, FLANGED, CSA Z245.15-05, GEAR OPERATOR, RAISED FACE",TY
13808159,"VALVE,BALL,12"",150 #,ENCL GEAR,A216-WCB",1,EA,A,,R03G02,,BF01B40A01-C,"VALVE, BALL, FLANGED, CLASS 150, 316 STAINLESS STEEL BALL, GEAR OPERATOR, ASTM A216 GR WCB, 12 IN, PTFE SEAT, RAISED FACE, CORROSIVE SERVICE, TRUNNION MOUNTED","CAMERON, CAMERON "
13808504,"VALVE,BALL,1"",150,RF,FP,DI,PFA",1,EA,A,,R02I07,,BF01B20B00,"VALVE, BALL, CLASS 150, DUCTILE IRON, PFA LINED, 1 IN, FULL PORT, RAISED FACE",NGC
13808505,"VALVE,BALL,1"",2000#CWP,MALE SW,A105N",1,EA,A,,R02I07,,BS20B00A01,"VALVE, BALL, FLOATING, MALE SOCKET WELD, 2000 LB CWP, ASTM A105N, 1 IN, PTFE SEAT, W/ 6 IN NIPPLES",VELAN
13808506,"VALVE,BALL,2"",150,RF,FP,DI,PFA",1,EA,A,,R02I07,,BF01B20B00,"VALVE, BALL, CLASS 150, DUCTILE IRON, PFA LINED, 2 IN, FULL PORT, RAISED FACE",NGC
13808628,"VALVE,BALL,4"",150,RF,FP,DI,PFA,BC",1,EA,A,,R02I07,,BF01B20B00,"VALVE, BALL, CLASS 150, DUCTILE IRON, PFA LINED, 4 IN, FULL PORT, RAISED FACE",NGC
13808629,"VALVE,BALL,FLTG,2"",150,RF,A216-WCB",5,EA,A,,R02L10,"TOTE 92,93,94",BF01B00A01,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A216, GR WCB, 2 IN, PTFE SEAT, RAISED FACE, CORROSION RESISTANT FACING",VELAN
13808630,"VALVE,BALL,FLTG,2"",150,RF,A351-CF8M",1,EA,A,,R02L08,TOTE 71,BF01L00A0H,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A351, GR CF8M, 2 IN, PTFE SEAT, RAISED FACE",APOLLO
13808631,"VALVE,BALL,FLTG,3"",150,RF,A216-WCB",1,EA,A,,R02I07,,BF01B00A01,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A216, GR WCB, 3 IN, PTFE SEAT, RAISED FACE, CORROSION RESISTANT FACING",  VELAN
13808631,"VALVE,BALL,FLTG,3"",150,RF,A216-WCB",1,EA,A,,R02K05,TOTE 134,BF01B00A01,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A216, GR WCB, 3 IN, PTFE SEAT, RAISED FACE, CORROSION RESISTANT FACING",  VELAN
13808632,"VALVE,BALL,FLTG,3"",150,RF,A351-CF8M",2,EA,A,,R02K05,"TOTE 132,133",BF01L00A0H,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A351, GR CF8M, 3 IN, PTFE SEAT, RAISED FACE",VELAN
13808633,"VALVE,BALL,FLTG,4"",150,FF,A351-CF8M",1,EA,A,,R02K08,,BE01C00A0H,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A351, GR CF8M, 4 IN, PTFE SEAT, FLAT FACE",TBV-CAMERON
13808634,"VALVE,BALL,FLTG,6"",150,RF,A216-WCB",1,EA,A,,R02J02,,BF01B00A01,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A216, GR WCB, 6 IN, PTFE SEAT, RAISED FACE, CORROSION RESISTANT FACING",KITZ
13808635,"VALVE,BALL,FLTG,8"",150,RF,A216-WCB",1,EA,A,,R02J02,,BF01B00A01,"VALVE, BALL, FLOATING, CLASS 150, 316 STAINLESS STEEL BALL, ASTM A216, GR WCB, 8 IN, PTFE SEAT, RAISED FACE, CORROSION RESISTANT FACING",VELAN
13808636,"VALVE,CK,BALL,3"",150,RF,DI,PFA",1,EA,A,,R02I07,,CF01B50B00,"VALVE, CHECK, BALL, DUCTILE IRON, 3 IN, CLASS 150, RAISED FACE, PFA LINED",NGC
13808637,"VALVE,CK,SWING,2"",150,RF,T12,A216-WCB",1,EA,A,,R02L09,TOTE 81,CF01B01201,"VALVE, CHECK, SWING, 2 IN, CLASS 150, API TRIM 12, ASTM A216, GR WCB, RAISED FACE",TY                         
13808638,"VALVE,CK,SWING,2"",150,RF,T12,A351-CF8M",1,EA,A,,R02L08,TOTE 72,CF01L0120H,"VALVE, CHECK, SWING, 2 IN, CLASS 150, API TRIM 12, ASTM A351, GR CF8M, RAISED FACE",TY
13808639,"VALVE,CK,SWING,2"",150,T12,A351-CF8M,NACE",1,EA,A,,R02L08,TOTE 72,CF01B0120H,"VALVE, CHECK, SWING, 2 IN, CLASS 150, API TRIM 12, ASTM A351, GR CF8M, RAISED FACE, NACE",TY
13808640,"VALVE,CK,SWING,2"",150,TRIM 11,A216-WCB",2,EA,A,,R02L08,TOTE 80,CF01B01101,"VALVE, CHECK, SWING, 2 IN, CLASS 150, MONEL TRIM 11, ASTM A216, GR WCB, RAISED FACE",VELAN
13808641,"VALVE,CK,SWING,2"",300,RF,T8,A216-WCB",2,EA,A,,R02L09,"TOTE 87,88",CF03A00801,"VALVE, CHECK, SWING, 2 IN, CLASS 300, API TRIM 8, ASTM A216, GR WCB, RAISED FACE",TY
13808642,"VALVE,CK,SWING,3"",300,RF,T8,A216-WCB",1,EA,A,,R02K05,,CF03A00801,"VALVE, CHECK, SWING, 3 IN, CLASS 300, API TRIM 8, ASTM A216, GR WCB, RAISED FACE",TY
13808644,"VALVE,CK,SWING,6"",150,RF,T12,A216-WCB",1,EA,A,,R02J03,,CF01L0120H,"VALVE, CHECK, SWING, 6 IN, CLASS 150, API TRIM 12, ASTM A216, GR WCB, RAISED FACE",TY
