SKU,Description,Surplus Quantity,Value / Part ($),Value,Site Location of Surplus Part,Turns
10007732,"BODY, CONDUIT OUTLET, TYPE: C, SIZE: 3/4INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OC-2",3.00,5.00,15.00,J1 Office,0
10014584,"BODY, CONDUIT OUTLET, TYPE: TA, SIZE: 3/4INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OTA-2",5.00,5.00,25.00,J1 Office,0
10007127,"BODY, CONDUIT OUTLET, TYPE: LB, SIZE: 1INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OLB-3",7.00,5.00,35.00,J1 Office,0
10003567,"BODY, CONDUIT OUTLET, TYPE: LR, SIZE: 1INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OLR-3",8.00,5.00,40.00,J1 Office,0
10012670,"BODY, CONDUIT OUTLET, TYPE: LL, SIZE: 1INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OLL-3",4.00,5.00,20.00,J1 Office,0
10008698,"BODY, CONDUIT OUTLET, TYPE: TB, SIZE: 1INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OTB-3",5.00,5.00,25.00,J1 Office,0
10006366,"BODY, CONDUIT OUTLET, TYPE: X, SIZE: 1-1/2INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OX-5",1.00,5.00,5.00,J1 Office,0
10009751,"FITTING, CONDUIT SEAL, TYPE: UNY UNION, HUB SIZE: 1/2INCH, CONNECTION: MALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: UNY105SA",67.00,5.00,335.00,J1 Office,0
10015622,"FITTING, CONDUIT SEAL, TYPE: GU/UN UNION, HUB SIZE: 1/2INCH, CONNECTION: MALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL INC, MANUFACTURER P/N: GUM-1",2.00,5.00,10.00,J1 Office,0
10013552,"FITTING, CONDUIT SEAL, TYPE: GU/UN UNION, HUB SIZE: 3/4INCH, CONNECTION: MALE NPT, MATERIAL: STEEL, MANUFACTURER: HUBBELL INC, MANUFACTURER P/N: GUM-2",2.00,5.00,10.00,J1 Office,0
10018478,"FITTING, CONDUIT SEAL, TYPE: GU/UN UNION, HUB SIZE: 3/4INCH, CONNECTION: MALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL INC, MANUFACTURER P/N: GUM-2",2.00,5.00,10.00,J1 Office,0
10018548,"ELBOW, CONDUIT, DEGREE: 90DEGREE, SIZE: 3/4INCH, END PREPARATION: FEMALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: KILLARK, MANUFACTURER P/N: FF-90-2",1.00,5.00,5.00,J1 Office,0
10009149,"COUPLING, CONDUIT, SIZE: 25MILLIMETER, END STYLE: SCREWED, MATERIAL: STEEL, MANUFACTURER: ERICO, MANUFACTURER P/N: EL25SA",1.00,5.00,5.00,J1 Office,0
10012669,"ELBOW, CONDUIT, DEGREE: 90DEGREE, SIZE: 3/4INCH, END PREPARATION: FEMALE NPT, MATERIAL: GALVINIZED IRON, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: EL29",2.00,5.00,10.00,J1 Office,0
10005698,"ELBOW, CONDUIT, DEGREE: 90DEGREE, SIZE: 3/4INCH, END PREPARATION: MALE TO FEMALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: EL296SA",1.00,5.00,5.00,J1 Office,0
10014300,"ELBOW, CONDUIT, DEGREE: 90DEGREE, SIZE: 1INCH, END PREPARATION: MALE TO FEMALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: EL396SA",1.00,5.00,5.00,J1 Office,0
10006797,"BODY, CONDUIT OUTLET, TYPE: GUAT, SIZE: 3/4INCH, END CONNECTION: THREADED, MATERIAL: COPPER FREE ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: GUAT26SA",1.00,5.00,5.00,J1 Office,0
10015300,"COVER, CONDUIT OUTLET BODY, TYPE: GUA FITTING, MATERIAL: ALUMINUM",2.00,5.00,10.00,J1 Office,0
10010694,"FITTING, CONDUIT SEAL, TYPE: WING NUT EXPANSION PLUG, HUB SIZE: 1 1/4INCH, MATERIAL: RUBBER",4.00,5.00,20.00,J1 Office,0
10014271,"BODY, CONDUIT OUTLET, TYPE: TAPPED, SIZE: 3/4INCH, END CONNECTION: FEMALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: GRF229",4.00,5.00,20.00,J1 Office,0
10003067,"BODY, CONDUIT OUTLET, TYPE: LA FITTING, SIZE: 1/2INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: GEMLA-1",6.00,5.00,30.00,J1 Office,0
10007005,"SWITCH, LEVEL, TYPE: SPDT, VOLTAGE: 150VAC/VDC, BODY MATERIAL: 316STAINLESS STEEL, SIZE: 1/2INCH, AMPERAGE: 1A, TEMPERATURE RATING: -40-316DEGREES C, POWER RATING: 25W, APPLICATION: EX-PROOF, MANUFACTURER: MAGTECH, MANUFACTURER P/N: MLS-3EX, PRIOR MM NUMBER(S): J1-12985",2.00,5.00,10.00,J1 Office,0
10011602,"PLATE, NO MODIFIER, TYPE: FLAT PLATE JOINER CABLE TRAY, SIZE: 6INCH, MATERIAL: ALUMINUM, MANUFACTURER P/N: TJ 6 FLTPLT",10.00,5.00,50.00,J1 Office,0
10016443,"PLATE, NO MODIFIER, TYPE: C PLATE JOINER CABLE TRAY, SIZE: 6INCH, MATERIAL: ALUMINUM, MANUFACTURER P/N: TJ 6 CPLT",5.00,5.00,25.00,J1 Office,0
10002473,"PLATE, NO MODIFIER, TYPE: END CAP CABLE TRAY, SIZE: 4INCH X 12INCH, MATERIAL: ALUMINUM, MANUFACTURER P/N: TRENSA 4X12",14.00,5.00,70.00,J1 Office,0
10002474,"PLATE, NO MODIFIER, TYPE: END CAP CABLE TRAY, SIZE: 6INCH X 6INCH, MATERIAL: ALUMINUM, MANUFACTURER P/N: TRENSA 6X6",14.00,5.00,70.00,J1 Office,0
10014965,"PLATE, NO MODIFIER, TYPE: END CAP CABLE TRAY, SIZE: 5INCH X 18INCH, MATERIAL: ALUMINUM, MANUFACTURER P/N: TRENSA 5X18",5.00,5.00,25.00,J1 Office,0
10004805,"PLATE, NO MODIFIER, TYPE: END CAP CABLE TRAY, SIZE: 5INCH X 12INCH, MATERIAL: ALUMINUM, MANUFACTURER P/N: TRENSA5X12",7.00,5.00,35.00,J1 Office,0
10013088,"CLAMP, NO MODIFIER, TYPE: CABLE TRAY W/GUIDE, STANDARD SIZE: 3/8INCH, MATERIAL: STEEL, BASE SIZE: 2 1/4INCH, MANUFACTURER: EATON, MANUFACTURER P/N: 9ZN-1208",32.00,5.00,160.00,J1 Office,0
10003636,"CLAMP, PIPE/CONDUIT, TYPE: HOLD DOWN, MATERIAL: ALUMINUM",24.00,5.00,120.00,J1 Office,0
10000333,"WASHER, NO MODIFIER, TYPE: SQUARE, NOMINAL SIZE: 3/8INCH, MATERIAL: GALVANISED CARBON STEEL, SIZE: 1 5/8INCH X 1 5/8INCH, THICKNESS: 1/4INCH, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: AB241-3/8HDGC",40.00,5.00,200.00,J1 Office,0
10016455,"CLAMP, BEAM, TYPE: WINDOW DOUBLE, MATERIAL: GALVANIZED STEEL, MANUFACTURER P/N: BMCLST2, PRIOR MM NUMBER(S): J1-12997",5.00,5.00,25.00,J1 Office,0
10006141,"CLAMP, BEAM, TYPE: PARALLEL, CONDUIT PIPE SIZE: 1 1/4INCH, MANUFACTURER P/N: BMCL11/4COND, PRIOR MM NUMBER(S): J1-13000",15.00,5.00,75.00,J1 Office,0
10015227,"CLAMP, PIPE/CONDUIT, TYPE: PARALLEL BEAM, SIZE: 1INCH, MATERIAL: GALVANIZED STEEL, MANUFACTURER P/N: BMCL1COND",7.00,5.00,35.00,J1 Office,0
10007350,"CLAMP, BEAM, TYPE: ROD THREADED, CONDUIT PIPE SIZE: 3/8INCH, MATERIAL: GALVANIZED STEEL, MANUFACTURER P/N: BMCL3/8RDRD, PRIOR MM NUMBER(S): J1-13001",7.00,5.00,35.00,J1 Office,0
10017556,"CLAMP, BEAM, TYPE: U-BOLT STRUT, MATERIAL: GALVANIZED STEEL, MANUFACTURER P/N: B441, PRIOR MM NUMBER(S): J1-13002",7.00,5.00,35.00,J1 Office,0
10010380,"SWITCH, TOGGLE, TYPE: 2 POS SELECTOR/ALUMIN SEALED, VOLTAGE: 600VAC MAX, AMPERAGE: 12AMP, POLE/THROW: DOUBLE/DOUBLE, ACTION: ON-OFF, APPLICATION: EX-PROOF, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: FXCS-0S2A1",2.00,5.00,10.00,J1 Office,0
10016908,"SWITCH, TOGGLE, TYPE: TUMBLER W COVER, VOLTAGE: 120/277VAC, AMPERAGE: 20AMP, POLE/THROW: SINGLE POLE SINGLE THROW, ACTION: ON-OFF, APPLICATION: EX-PROOF, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: AMP, POLE/THROW: SINGLE POLE SINGLE THROW, ACTION: ON-OFF, APPLICATION: EX-PROOF, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: FXS-1C",2.00,5.00,10.00,J1 Office,0
10011918,"ASSEMBLY, ELECTRICAL, TYPE: START-STOP SWITCH/COVER, SIZE: 1-POLE SINGLE PHASE, MATERIAL: ALUMINUM/SS, MANUFACTURER: KILLARK, PRIOR MM NUMBER(S): J1-13007",3.00,5.00,15.00,J1 Office,0
10013684,"SWITCH, EX-PROOF LIGHT START-STOP FACTORY SEAL",6.00,5.00,30.00,J1 Office,0
10016075,"SWITCH, EX-PROOF LIGHT START-STOP FACTORY SEAL",3.00,5.00,15.00,J1 Office,0
10003595,"BODY, CONDUIT OUTLET, TYPE: FACTORY SEALED SPLICE BOX, SIZE: 6-13/16 X 3-11/16 X 1-3/4INCH, END CONNECTION: FEMALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: KILLARK, MANUFACTURER P/N: FXB-5",3.00,5.00,15.00,J1 Office,0
10010169,"COVER, CONDUIT OUTLET BODY, TYPE: SEALING, SIZE: 3INCH, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: GUA062SA",7.00,5.00,35.00,J1 Office,0
10017244,"COVER, CONDUIT OUTLET BODY, TYPE: SEALING COVER, MATERIAL: ALUMINUM, MANUFACTURER: APPLETON",5.00,5.00,25.00,J1 Office,0
10008596,"COVER, CONDUIT OUTLET BODY, TYPE: SEALING, MATERIAL: ALUMINUM, MANUFACTURER: KILLARK",7.00,5.00,35.00,J1 Office,0
10003918,"BODY, CONDUIT OUTLET, TYPE: T, SIZE: 3/4INCH, END CONNECTION: FEMALE NPT, MATERIAL: PRESSURE CAST ALUMINUM, FORM: FORM 85, MANUFACTURER: APPLETON, MANUFACTURER P/N: T75A",6.00,5.00,30.00,J1 Office,0
10003566,"BODY, CONDUIT OUTLET, TYPE: GUAM, SIZE: 3/4INCH, END CONNECTION: THREADED, MATERIAL: COPPER FREE ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: GUAM24",6.00,5.00,30.00,J1 Office,0
10006843,"FITTING, CONDUIT SEAL, TYPE: UNY UNION, HUB SIZE: 3/4INCH, CONNECTION: MALE NPT, MATERIAL: STEEL, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: UNY205",34.00,5.00,170.00,J1 Office,0
10017951,"BOX, ELECTRICAL, TYPE: HINGED, SIZE: 18INCH X 16INCH X 10INCH, MATERIAL: FIBERGLASS, BOX TYPE: JUNCTION, BRACKET TYPE: WALL MOUNT, STYLE: SOLID COVER, MANUFACTURER: HOFFMAN, MANUFACTURER P/N: A181610CHQRFG",1.00,5.00,5.00,J1 Office,0
10017496,"ENCLOSURE, NO MODIFIER, TYPE: QUICK RELEASE LATCH KIT, SIZE: NA, MATERIAL: FIBERGLASS, APPLICATION: A664CHQRFG, MANUFACTURER: HOFFMAN, MANUFACTURER P/N: AL48",3.00,5.00,15.00,J1 Office,0
10008783,"BOX, ELECTRICAL, MATERIAL: FIBERGLASS, BOX TYPE: JUNCTION, PRIOR MM NUMBER(S): J1-12726",1.00,5.00,5.00,J1 Office,0
10013792,"BOX, ELECTRICAL, TYPE: SPLITTER, SIZE: 24INCH X 17INCH X 6INCH, MATERIAL: 14 GAUGE STEEL, BOX TYPE: JUNCTION, MANUFACTURER: ELECTRPRO, MANUFACTURER P/N: B404",1.00,5.00,5.00,J1 Office,0
10017339,"ENCLOSURE, ELECTRICAL, SIZE: 6 X 6 X 4INCH, TYPE: 1, FINISH: ANSI61 GRAY POLYESTER, MATERIAL: PLATED STEEL, MANUFACTURER: HOFFMAN",6.00,5.00,30.00,J1 Office,0
10000928,"BOX, ELECTRICAL, TYPE: NO BACK PAN, SIZE: 8INCH X 8INCH X 6INCH, MATERIAL: STEEL, BOX TYPE: JUNCTION, BRACKET TYPE: WALL MOUNT, STYLE: LIFT OFF COVER, MANUFACTURER P/N: WP886",4.00,5.00,20.00,J1 Office,0
10005570,"BOX, ELECTRICAL, TYPE: NO BACK PAN, SIZE: 10INCH X 10INCH X 8INCH, MATERIAL: ALUMINUM, BOX TYPE: JUNCTION, BRACKET TYPE: PANEL MOUNT, STYLE: LIFT OFF COVER, MANUFACTURER P/N: GPA-10X10X8",2.00,5.00,10.00,J1 Office,0
10006555,"FIXTURE, LIGHTING, TYPE: CEILING MOUNT, WATT: 150WATTS, VOLT: 120/208/240/277VAC, HUB: 3/4"", MANUFACTURER: KILLARK, MANUFACTURER P/N: VMX2",14.00,5.00,70.00,J1 Office,0
10016711,"GUARD, LIGHTING FIXTURE, TYPE: HIGH WATT GLOBE, APPLICATION: VM FIXTURE, MANUFACTURER: KILLARK",4.00,5.00,20.00,J1 Office,0
10009375,"MOUNT, NO MODIFIER, TYPE: FIXTURE STANCHION, SIZE: 1 1/4INCH, MANUFACTURER: KILLARK, MANUFACTURER P/N: VMD-4",13.00,5.00,65.00,J1 Office,0
10013830,"MOUNT, NO MODIFIER, TYPE: FIXTURE WALL, SIZE: 3/4INCH, MANUFACTURER: KILLARK, MANUFACTURER P/N: VMB-2",2.00,5.00,10.00,J1 Office,0
10000538,"REFLECTOR, LIGHTING, TYPE: ANGLE, SIZE: 10.3IN X 14.75IN X 14.75IN, MOUNTING: VML SERIES, MATERIAL: FIBERGLASS REINFORCED POLYSTER, WATTAGE: 50 - 150WATTS, MANUFACTURER: KILLARK",4.00,5.00,20.00,J1 Office,0
10013350,"BOX, ELECTRICAL, TYPE: NO BACK PAN, SIZE: 16INCH X 12INCH X 8INCH, MATERIAL: ALUMINUM, BOX TYPE: JUNCTION, BRACKET TYPE: WALL MOUNT, STYLE: LIFT OFF COVER, MANUFACTURER P/N: GPA-16X12X8",4.00,5.00,20.00,J1 Office,0
10006254,"REFLECTOR, LIGHTING, TYPE: DOME, SIZE: STANDARD, MOUNTING: VML SERIES, MATERIAL: FIBERGLASS REINFORCED POLYSTER, MANUFACTURER: KILLARK",4.00,5.00,20.00,J1 Office,0
10014096,"MOUNT, NO MODIFIER, TYPE: FIXTURE PENDANT, SIZE: 3/4INCH, MANUFACTURER: KILLARK, MANUFACTURER P/N: VMA-2",21.00,5.00,105.00,J1 Office,0
10011117,"GUARD, LIGHTING FIXTURE, TYPE: GLOBE, APPLICATION: VM FIXTURE, SIZE: 5 1/2INCH, MANUFACTURER: KILLARK",26.00,5.00,130.00,J1 Office,0
10005412,"HOUSING, NO MODIFIER, TYPE: BALLAST, MANUFACTURER: KILLARK",19.00,5.00,95.00,J1 Office,0
10009604,"STRAP, PIPE, TYPE: ADJUSTABLE, PIPE SIZE: 2INCH TO 10INCH, MATERIAL: STAINLESS STEEL, MANUFACTURER: RAYCHEM, MANUFACTURER P/N: PS10",19.00,5.00,95.00,J1 Office,0
10002079,"CONDUIT, FLEXIBLE, TYPE: LIQUIDTIGHT, SIZE: 3/4INCH, LENGTH: 30METER, MATERIAL: GALV STEEL CORE/PVC JACKET, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: CSA075-30",15.00,5.00,75.00,J1 Office,0
10003569,"STRAP, PIPE, TYPE: ADJUSTABLE, PIPE SIZE: 1INCH TO 2INCH, MATERIAL: STAINLESS STEEL, MANUFACTURER: RAYCHEM, MANUFACTURER P/N: PS03",10.00,5.00,50.00,J1 Office,0
10008662,"LAMP, HIGH PRESSURE SODIUM, TYPE: HIGH PRESSURE SODIUM, WATTAGE: 250WATTS",2.00,5.00,10.00,J1 Office,0
10003428,"BALLAST F40T12 LAMP RAPID START, 120 V",2.00,5.00,10.00,J1 Office,0
10015309,"BALLAST, NO MODIFIER, TYPE: 2 LAMP, VOLTAGE: 120VOLT, WATTAGE: 58WATTS, AMPERAGE: 0.49AMPS, CERTIFICATION: CSA/UL, FREQUENCY RATING: 60HERTZ, MANUFACTURER P/N: REL-2P32-SC",2.00,5.00,10.00,J1 Office,0
10013490,"MOUNT, NO MODIFIER, TYPE: S-HOOK",90.00,5.00,450.00,J1 Office,0
10011324,"CLAMP, PIPE/CONDUIT, SIZE: 3/4IN / 1.01IN - 1.13OD INCH, MATERIAL: ALUMINUM, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 701-113AL",15.00,5.00,75.00,J1 Office,0
10012363,"CLAMP, PIPE/CONDUIT, SIZE: 1/2INCH, MATERIAL: 316STAINLESS STEEL, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 701-1/2SS",2.00,5.00,10.00,J1 Office,0
10010174,"CLAMP, PIPE/CONDUIT, SIZE: 1IN/ 1.27IN - 1.4OD IN, MATERIAL: ALUMINUM, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 701-140AL AL",58.00,5.00,290.00,J1 Office,0
10013703,"CLAMP, PIPE/CONDUIT, SIZE: 1 1/4 / 1.41 TO 1.53OD INCH, MATERIAL: ALUMINUM, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 701-153AL",26.00,5.00,130.00,J1 Office,0
10009099,"CLAMP, PIPE/CONDUIT, TYPE: RIGID, SIZE: 1 1/2IN/ 1.54IN - 1.67OD IN, MATERIAL: ALUMINUM, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 701-167AL",45.00,5.00,225.00,J1 Office,0
10013441,"CLAMP, PIPE/CONDUIT, SIZE: 2IN/ 1.81IN - 1.93OD IN, MATERIAL: ALUMINUM, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 701-193AL",53.00,5.00,265.00,J1 Office,0
10017493,"STRAP, NO MODIFIER, TYPE: TUBE, SIZE: 2INCH, MATERIAL: CARBON STEEL, MANUFACTURER: EATON",2.00,5.00,10.00,J1 Office,0
10003811,"CLAMP, PIPE, TYPE: U BOLT, NOMINAL PIPE SIZE: 3INCH, MATERIAL: STEEL, FINISH: SILVER GALVANIZED, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: CPC300",41.00,5.00,205.00,J1 Office,0
10013691,"CLAMP, PIPE, TYPE: U BOLT, NOMINAL PIPE SIZE: 4INCH, MATERIAL: STEEL, FINISH: SILVER GALVANIZED, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: CPC400",75.00,5.00,375.00,J1 Office,0
10001732,"NIPPLE, CONDUIT, TYPE: CLOSE, SIZE: 2 1/2INCH, LENGTH: 2 1/2INCH, CONNECTION: MNPT, MATERIAL: ALUMINUM",40.00,5.00,200.00,J1 Office,0
10017610,"NIPPLE, CONDUIT, TYPE: CLOSE, SIZE: 2INCH, LENGTH: 2INCH, CONNECTION: MNPT, MATERIAL: ALUMINUM",121.00,5.00,605.00,J1 Office,0
10000611,"COUPLING, CONDUIT, TYPE: RIGID, SIZE: 1INCH, END STYLE: THREADED, MATERIAL: ALUMINUM, MANUFACTURER P/N: 2CLP4",9.00,5.00,45.00,J1 Office,0
10003798,"COUPLING, CONDUIT, TYPE: RIGID, SIZE: 1 1/4INCH, END STYLE: THREADED, MATERIAL: ALUMINUM, MANUFACTURER P/N: 2CLP5",21.00,5.00,105.00,J1 Office,0
10003616,"CONNECTOR, CABLE/CONDUIT, TYPE: STRAIGHT, SIZE: 2INCH, CONNECTION: LIQUID TIGHT FLEX, MATERIAL: MALLEABLE IRON, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 5237",18.00,5.00,90.00,J1 Office,0
10010051,"CONNECTOR, CABLE/CONDUIT, TYPE: STRAIGHT, SIZE: 1 1/2INCH, CONNECTION: LIQUID TIGHT FLEX, MATERIAL: MALLEABLE IRON, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 5236",3.00,5.00,15.00,J1 Office,0
10016926,"CONNECTOR, CABLE/CONDUIT, SIZE: 3/8INCH, CONNECTION: LIQUID TIGHT FLEX, MATERIAL: MALLEABLE IRON, DEGREE: 90DEGREES, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 5251",4.00,5.00,20.00,J1 Office,0
10001511,"CONNECTOR, LIQUIDTIGHT FLEX, 90 DEG, 3/4"", CAST STEEL",10.00,5.00,50.00,J1 Office,0
10010688,"CONNECTOR, CABLE/CONDUIT, SIZE: 1 1/2INCH, CONNECTION: LIQUID TIGHT FLEX, MATERIAL: MALLEABLE IRON, DEGREE: 90DEGREES, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 5256",6.00,5.00,30.00,J1 Office,0
10013074,"CONNECTOR, CABLE/CONDUIT, TYPE: EMT, SIZE: 2 1/2INCH, CONNECTION: SET SCREW, MATERIAL: ZINC PLATED STEEL, MANUFACTURER: IBERVILLE, MANUFACTURER P/N: CI-5020",4.00,5.00,20.00,J1 Office,0
10012867,"COUPLING, CONDUIT, TYPE: ELECTRIC METALLIC TUBE, SIZE: 1/2INCH, END STYLE: SLIP ON, MATERIAL: STEEL/ZINC, INSTALLATION TYPE: SET SCREW",28.00,5.00,140.00,J1 Office,0
10010201,"COUPLING, CONDUIT, TYPE: ELECTRIC METALLIC TUBE, SIZE: 3/4INCH, END STYLE: SLIP ON, MATERIAL: STEEL/ZINC, INSTALLATION TYPE: SET SCREW",18.00,5.00,90.00,J1 Office,0
10012044,"RING, SEALING, SIZE: 3/4INCH, MATERIAL: SANTOPRENE, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 5303-TB",14.00,5.00,70.00,J1 Office,0
10017783,"RING, SEALING, SIZE: 1INCH, MATERIAL: SANTOPRENE, MANUFACTURER: THOMAS/BETTS, MANUFACTURER P/N: 5304-TB",7.00,5.00,35.00,J1 Office,0
10010001,"NIPPLE, CONDUIT, TYPE: W/O INSULATED THROAT, SIZE: 1INCH, LENGTH: 7/8INCH, CONNECTION: MNPT, MATERIAL: DIE CAST ZINC, MANUFACTURER: APPLETON, MANUFACTURER P/N: CNN-300",58.00,5.00,290.00,J1 Office,0
10017609,"NIPPLE, CONDUIT, TYPE: W/O INSULATED THROAT, SIZE: 1 1/4INCH, LENGTH: 7/8INCH, CONNECTION: MNPT, MATERIAL: DIE CAST ZINC, MANUFACTURER: APPLETON, MANUFACTURER P/N: CNN-400",16.00,5.00,80.00,J1 Office,0
10014097,"NIPPLE, CONDUIT, TYPE: W/O INSULATED THROAT, SIZE: 1 1/2INCH, LENGTH: 7/8INCH, CONNECTION: MNPT, MATERIAL: DIE CAST ZINC, MANUFACTURER: APPLETON, MANUFACTURER P/N: CNN-500",18.00,5.00,90.00,J1 Office,0
