IncidentDate,IncidentNumber,CauseCategory,CauseType,FailureType,IncidentType,Location,InjuryCount,FatalityCount,IncidentLSD,IncidentSection,IncidentTownship,IncidentRange,IncidentMeridian,LicenceNumber,LicenceType,IncidentNotificationDate,IncidentCompleteDate,Source,StrikeArea,FieldCentre,LicenseeID,LicenseeName,Jurisdiction,ReleaseOffsite,SensitiveArea,PublicAffected,EnvironmentAffected,WildlifeLivestockAffected,AreaAffected,PublicEvacuatedCount,ReleaseCleanupDate,PipelineLicenceSegmentID,PipelineLicenceLineNo,PipeDamageType,PipeTestFailure,PipelineOutsideDiameter(mm),PipeGrade,PipeWallThickness(mm),SubstanceReleased,VolumeReleased,VolumeRecovered,VolumeUnits,SubstanceReleased2,VolumeReleased2,VolumeRecovered2,VolumeUnits2,SubstanceReleased3,VolumeReleased3,VolumeRecovered3,VolumeUnits3,SubstanceReleased4,VolumeReleased4,VolumeRecovered4,VolumeUnits4,Location1
January 31 2013,20130239,,,,Release,13-36-062-03W6,0,0,13,36,62,3,6,363585,Well Licence,January 31 2013,,Gas Well,LATOR,Grande Prairie,0Z2Z,Celtic Exploration Ltd.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,,,,,,,,,Condensate,2,,m3,,,,,,,,,,,,,"(54.412133, -118.32205)"
January 30 2013,20130227,Equipment Failure,Malfunction,Equipment Failure,Release,09-24-036-06W4,1,,9,24,36,6,4,446078,Well Licence,January 30 2013,,Suspended Well,PROVOST,Wainwright,0JL8,Apache Canada Ltd.,,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,Fresh Water,600,,m3,,,,,,,,,,,,,"(52.108033, -110.72225)"
January 30 2013,20130233,,,,Release,08-29-060-18W5,,,8,29,60,18,5,453013,Well Licence,January 31 2013,,Drilling Well,KAYBOBS,St. Albert,A5WA,Tangle Creek Energy Ltd.,,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Drilling Mud (HC Based),2,,m3,,,,,,,,,,,,,"(54.215933, -116.654667)"
January 30 2013,20130228,Equipment Failure,Mechanical/Strctural,Valve Failure,Release,08-01-056-01W4,0,0,8,1,56,1,4,435430,Well Licence,January 30 2013,,Service Well,JOHNLK,Bonnyville,A5GE,Blackpearl Resources Inc.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Salt/Produced Water,4,,m3,,,,,,,,,,,,,"(53.80735, -110.00865)"
January 28 2013,20130200,Operator Error,Accidental,Operator Error,Release,06-20-049-02W4,,,6,20,49,2,4,346448,Well Licence,January 28 2013,,Oil Well,LLOYD,Wainwright,A1DF,Rock Energy Inc.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,Crude Oil,0.5,,m3,,,,,,,,,,,,,"(53.239417, -110.264517)"
January 28 2013,20130207,Operator Error,Oversight,Operator Error,Release,12-02-049-05W4,,,12,2,49,5,4,344348,Well Licence,January 28 2013,,Oil Well,WILDMERE,Wainwright,0K29,Devon Canada Corporation,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,01/28/2013 12:00:00 AM,,,,,,,,Crude Oil,3,,m3,,,,,,,,,,,,,"(53.1994, -110.6362)"
January 27 2013,20130206,,,,Release,02-22-064-19W5,,,2,22,64,19,5,151092,Well Licence,January 29 2013,,Oil Well,KAYBOB,St. Albert,A1C9,Trilogy Resources Ltd.,,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,Crude Oil,3,,m3,,,,,,,,,,,,,"(54.547067, -116.783183)"
January 27 2013,20130178,Equipment Failure,Malfunction,Valve Failure,Release,15-22-055-02W4,0,0,15,22,55,2,4,432709,Well Licence,January 27 2013,,Oil Well,JOHNLK,Bonnyville,0HE9,Canadian Natural Resources Limited,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,,,,,,,,,Salt/Produced Water,13,,m3,,,,,,,,,,,,,"(53.77095, -110.212717)"
January 26 2013,20130183,,,Flange Loose,Release,11-04-087-11W5,,,11,4,87,11,5,418671,Well Licence,January 26 2013,,Oil Well,EVI,St. Albert,0T82,Lone Pine Resources Canada Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Crude Oil,20,,m3,,,,,,,,,,,,,"(56.517417, -115.6934)"
January 26 2013,20130185,Equipment Failure,Malfunction,Stuffing Box,Release,14-17-077-21W5,0,0,14,17,77,21,5,378379,Well Licence,January 26 2013,,Oil Well,GVILLEE,Grande Prairie,A517,Long Run Exploration Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Gas Production (Raw),10,,103m3,Crude Oil,0.1,0.1,m3,Process Water,4,4,m3,,,,,"(55.677767, -117.225167)"
January 26 2013,20130186,Equipment Failure,Malfunction,Valve Failure,Release,01-04-070-02W6,0,0,1,4,70,2,6,409405,Well Licence,January 26 2013,,Gas Well,BEZAN,Grande Prairie,A65L,Sinopec Daylight Energy Ltd.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Crude Oil,0.4,0.4,m3,Fresh Water,,25.6,m3,,,,,,,,,"(55.026917, -118.232417)"
January 26 2013,20130194,Equipment Failure,Malfunction,Stuffing Box,Release,14-28-040-15W4,,,14,28,40,15,4,310112,Well Licence,January 26 2013,,Oil Well,GALAHAD,Wainwright,A177,Arsenal Energy Inc.,Freehold Private Lands,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,01/26/2013 12:00:00 AM,,,,,,,,Crude Oil,0.1,,m3,Salt/Produced Water,9,,m3,,,,,,,,,"(52.475767, -112.1072)"
January 26 2013,20130198,Unknown,Unknown,Valve Leak,Release,11-31-061-05W6,0,0,11,31,61,5,6,317759,Well Licence,January 26 2013,,Suspended Well,KAKWA,Grande Prairie,0L3Z,Questerre Energy Corporation,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Gas Production (Raw),10,,103m3,,,,,,,,,,,,,"(54.321167, -118.740533)"
January 26 2013,20130180,Operator Error,Oversight,Operator Error,Release,13-02-054-02W4,0,0,13,2,54,2,4,397951,Well Licence,January 27 2013,,Oil Well,MARW,Bonnyville,0HE9,Canadian Natural Resources Limited,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Salt/Produced Water,4,,m3,,,,,,,,,,,,,"(53.640367, -110.19915)"
January 25 2013,20130175,Equipment Failure,Mechanical/Strctural,EOR Frac Out,Release,12-24-039-10W4,,,12,24,39,10,4,400367,Well Licence,January 25 2013,,Oil Well,PROVOST,Wainwright,0BP8,Penn West Petroleum Ltd.,Freehold Private Lands,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Synthetic Crude Oil,0,2,m3,Crude Oil,0.1,0.1,m3,Salt/Produced Water,7.9,7.9,m3,,,,,"(52.370167, -111.321533)"
January 24 2013,20130169,Operator Error,Oversight,Operator Error,Release,13-10-055-02W4,0,0,13,10,55,2,4,383444,Well Licence,January 24 2013,,Oil Well,JOHNLK,Bonnyville,0K29,Devon Canada Corporation,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,,,,,,,,,Crude Bitumen,32,,m3,,,,,,,,,,,,,"(53.7419, -110.225233)"
January 24 2013,20130171,Equipment Failure,Mechanical/Strctural,Line Failure,Release,12-06-062-24W5,0,0,12,6,62,24,5,443737,Well Licence,January 24 2013,,Drilling Well,SAXON,Grande Prairie,26,Encana Corporation,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Drilling Mud  (Water Based),6,6,m3,,,,,,,,,,,,,"(54.33585, -117.598133)"
January 24 2013,20130167,Operator Error,Accidental,Operator Error,Release,01-13-053-03W4,0,0,1,13,53,3,4,420423,Well Licence,January 24 2013,,Oil Well,MARW,Bonnyville,0R46,Husky Oil Operations Limited,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Salt/Produced Water,4,,m3,,,,,,,,,,,,,"(53.571283, -110.30365)"
January 23 2013,20130164,Operator Error,Oversight,Operator Error,Release,03-12-077-06W4,0,0,3,12,77,6,4,453030,Well Licence,January 23 2013,,Drilling Well,HARDY,Bonnyville,0Z9C,MEG Energy Corp.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Drilling Mud  (Water Based),0.2,,m3,,,,,,,,,,,,,"(55.6515, -110.798183)"
January 22 2013,20130158,,,,Release,02-25-063-11W5,,,2,25,63,11,5,19483,Well Licence,January 22 2013,,Service Well,JUDYCK,St. Albert,A5R5,Pengrowth Energy Corporation,,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,Salt/Produced Water,6,,m3,,,,,,,,,,,,,"(54.474083, -115.52295)"
January 21 2013,20130154,,,,Release,15-18-058-19W5,0,0,15,18,58,19,5,424702,Well Licence,January 21 2013,,Oil Well,PINE CK,Drayton Valley,0Z2Z,Celtic Exploration Ltd.,,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 1000 square meters,0,,,,,,,,,Crude Oil,2.5,2.5,m3,,,,,,,,,,,,,"(54.019333, -116.81005)"
January 21 2013,20130141,Equipment Failure,Mechanical/Strctural,Equipment Failure,Release,16-20-052-07W4,,,16,20,52,7,4,403503,Well Licence,January 21 2013,01/29/2013 12:00:00 AM,Oil Well,SWIMMING,Wainwright,0R46,Husky Oil Operations Limited,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,01/21/2013 12:00:00 AM,,,,,,,,Salt/Produced Water,110,110,m3,,,,,,,,,,,,,"(53.509517, -110.992617)"
January 21 2013,20130197,Operator Error,Oversight,Operator Error,Release,15-03-061-24W5,0,0,15,3,61,24,5,452372,Well Licence,January 21 2013,,Drilling Well,PLACID,Grande Prairie,26,Encana Corporation,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Drilling Mud (HC Based),2.5,2.2,m3,,,,,,,,,,,,,"(54.252233, -117.510567)"
January 20 2013,20130144,Equipment Failure,Malfunction,Valve Leak,Release,11-16-040-03W4,,,11,16,40,3,4,106058,Well Licence,January 20 2013,,Service Well,PROVOST,Wainwright,A5H3,Black Shire Energy Inc.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,01/21/2013 12:00:00 AM,,,,,,,,Salt/Produced Water,10,,m3,Gas Production (Raw),0.1,,103m3,,,,,,,,,"(52.442767, -110.379883)"
January 20 2013,20130150,Operator Error,Oversight,Operator Error,Release,02-12-061-02W6,0,0,2,12,61,2,6,452229,Well Licence,January 21 2013,01/22/2013 12:00:00 AM,Drilling Well,RESTHA,Grande Prairie,A1ME,Cequence Energy Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,01/21/2013 12:00:00 AM,,,,,,,,Drilling Mud (HC Based),9,9,m3,,,,,,,,,,,,,"(54.255833, -118.159567)"
January 18 2013,20130135,,,,Release,16-16-066-15W5,0,0,16,16,66,15,5,180733,Well Licence,January 18 2013,,Oil Well,MEEKWAP,St. Albert,0BP8,Penn West Petroleum Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,01/18/2013 12:00:00 AM,,,,,,,,Crude Oil,1.5,1.5,m3,Salt/Produced Water,48.5,48.5,m3,,,,,,,,,"(54.7179, -116.197217)"
January 18 2013,20130152,Equipment Failure,Malfunction,Equipment Failure,Release,01-29-057-22W4,0,0,1,29,57,22,4,363313,Well Licence,January 21 2013,,Suspended Well,REDWATER,St. Albert,A517,Long Run Exploration Ltd.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Fresh Water,2.7,,m3,Salt/Produced Water,0.3,,m3,,,,,,,,,"(53.95075, -113.226867)"
January 17 2013,20130126,Operator Error,Accidental,Wellhead Leak,Release,12-14-070-11W5,0,0,12,14,70,11,5,28293,Well Licence,January 17 2013,,Suspended Well,SWANH,St. Albert,0JL8,Apache Canada Ltd.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 1000 square meters,0,01/17/2013 12:00:00 AM,,,,,,,,Salt/Produced Water,5,5,m3,Crude Oil,5,5,m3,,,,,,,,,"(55.06325, -115.5744)"
January 16 2013,20130114,,,Fracturing Operation,Release,01-07-049-05W5,,,1,7,49,5,5,312982,Well Licence,January 16 2013,,Oil Well,PEMBINA,Drayton Valley,0G30,ARC Resources Ltd.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,,,,,,,,,,,,,,,,,"(53.208767, -114.7118)"
January 16 2013,20130110,External,Third party damage,Vehicle Accident,Release,01-29-057-22W4,0,0,1,29,57,22,4,446305,Well Licence,January 16 2013,,Drilling Well,REDWATER,St. Albert,A517,Long Run Exploration Ltd.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,,,,,,,,,,,,,,,,,"(53.95075, -113.226867)"
January 16 2013,20130113,,,Fracturing Operation,Release,13-04-049-05W5,,,13,4,49,5,5,449636,Well Licence,January 16 2013,,Suspended Well,PEMBINA,Drayton Valley,0G30,ARC Resources Ltd.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,,,,,,,,,,,,,,,,,"(53.205133, -114.681367)"
January 15 2013,20130107,Operator Error,Oversight,Operator Error,Release,11-09-070-03W4,0,0,11,9,70,3,4,445764,Well Licence,January 15 2013,01/18/2013 12:00:00 AM,Sfc Csg Only,FISHER,Bonnyville,A2EZ,Cenovus FCCL Ltd.,Other C.F.B.,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,01/15/2013 12:00:00 AM,,,,,,,,Waste,0,3.5,m3,Drilling Mud  (Water Based),8,7.8,m3,,,,,,,,,"(55.047417, -110.402833)"
January 15 2013,20130105,Operator Error,Non-procedural,Operator Error,Release,01-29-039-26W4,,,1,29,39,26,4,453066,Well Licence,January 15 2013,,Drilling Well,JOFFRE,Red Deer,A5LD,Conserve Oil & Gas No. II Corporation,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,01/15/2013 12:00:00 AM,,,,,,,,Drilling Mud (HC Based),6,5.6,m3,,,,,,,,,,,,,"(52.37725, -113.702283)"
January 15 2013,20130118,Equipment Failure,Malfunction,Valve Leak,Release,04-06-029-27W4,0,0,4,6,29,27,4,228140,Well Licence,January 15 2013,,Gas Well,ENTICE,Midnapore,A2TG,TAQA North Ltd.,Freehold Private Lands,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Fuel Gas,0.1,0,103m3,,,,,,,,,,,,,"(51.446883, -113.79955)"
January 15 2013,20130100,Equipment Failure,Mechanical/Strctural,Adverse Effect,Release,09-16-112-06W6,0,0,9,16,112,6,6,124876,Well Licence,January 15 2013,,Oil Well,SOUSA,High Level,A0A7,NuVista Energy Ltd.,Crown Any Area,No,Yes,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,01/15/2013 12:00:00 AM,,,,,,,,Salt/Produced Water,0.2,,m3,Crude Oil,0.1,0.1,m3,,,,,,,,,"(58.72685, -118.933833)"
January 12 2013,20130085,,,,Release,09-16-027-12W4,0,0,9,16,27,12,4,201539,Well Licence,January 13 2013,,Oil Well,BERRY,Medicine Hat,A5G3,ConocoPhillips Canada Resources Corp.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,01/13/2013 12:00:00 AM,,,,,,,,Crude Oil,2.5,,m3,Salt/Produced Water,7.5,,m3,,,,,,,,,"(51.308683, -111.62535)"
January 12 2013,20130093,Equipment Failure,Mechanical/Strctural,Line Failure,Release,03-25-068-22W5,,,3,25,68,22,5,10936,Well Licence,January 13 2013,01/30/2013 12:00:00 AM,Oil Well,STURLKS,Grande Prairie,A190,Barrick Energy Inc.,Freehold Private Lands,Yes,No,No affect/Normal Notification,Air/Land,No affect,over 1000 square meters,,01/12/2013 12:00:00 AM,,,,,,,,Crude Oil,0.8,0.8,m3,Salt/Produced Water,1,1,m3,,,,,,,,,"(54.910367, -117.220517)"
January 11 2013,20130069,,,,Release,12-29-087-07W5,,,12,29,87,7,5,341724,Well Licence,January 11 2013,,Oil Well,REDEARTH,St. Albert,A5LK,Pace Oil & Gas Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Salt/Produced Water,10,,m3,,,,,,,,,,,,,"(56.575583, -115.088617)"
January 11 2013,20130073,Equipment Failure,Malfunction,Equipment Failure,Release,11-31-061-05W6,,,11,31,61,5,6,317759,Well Licence,January 11 2013,,Suspended Well,KAKWA,Grande Prairie,0L3Z,Questerre Energy Corporation,Crown Any Area,Yes,No,Public notified - Potential hazard,Air/Land,No affect,over 1000 square meters,,,,,,,,,,Frac Water,500,,m3,Gas Production (Raw),150,,103m3,,,,,,,,,"(54.321167, -118.740533)"
January 11 2013,20130089,Equipment Failure,Malfunction,Valve Failure,Release,04-17-054-22W5,0,0,4,17,54,22,5,445108,Well Licence,January 11 2013,01/21/2013 12:00:00 AM,Drilling Well,SUNDANCE,Drayton Valley,0T03,Shell Canada Limited,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,01/11/2013 12:00:00 AM,,,,,,,,Hydrotest Fluids (Methanol),4,4,m3,,,,,,,,,,,,,"(53.65905, -117.216917)"
January 10 2013,20130067,Equipment Failure,Malfunction,,Release,12-10-055-02W4,0,0,12,10,55,2,4,202292,Well Licence,January 10 2013,,Oil Well,JOHNLK,Bonnyville,0BK8,Devon NEC Corporation,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Salt/Produced Water,9,,m3,Crude Oil,18,,m3,,,,,,,,,"(53.738283, -110.225233)"
January 09 2013,20130053,Equipment Failure,Internal corrosion,Line Failure,Release,02-19-015-16W4,,,2,19,15,16,4,287591,Well Licence,January 09 2013,01/31/2013 12:00:00 AM,Oil Well,ENCHANT,Midnapore,0HE9,Canadian Natural Resources Limited,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,01/10/2013 12:00:00 AM,,,,,,,,Waste,0,170,m3,Salt/Produced Water,3,3,m3,,,,,,,,,"(50.2681, -112.18955)"
January 08 2013,20130043,Operator Error,Oversight,Valve Leak,Release,02-30-057-02W4,0,0,2,30,57,2,4,433864,Well Licence,January 08 2013,,Oil Well,MSHINE,Bonnyville,0HE9,Canadian Natural Resources Limited,Other Metis Settlement,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,,,,,,,,,Crude Bitumen,30,,m3,,,,,,,,,,,,,"(53.949033, -110.2875)"
January 08 2013,20130042,Equipment Failure,Defect,Separator,Release,13-27-059-19W5,,,13,27,59,19,5,445727,Well Licence,January 08 2013,,Gas Well,KAYBOBS,Drayton Valley,0Z2Z,Celtic Exploration Ltd.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,Crude Oil,0.1,,m3,Gas Production (Raw),0.1,,103m3,,,,,,,,,"(54.135917, -116.773383)"
January 05 2013,20130032,Operator Error,Accidental,Refuse,Release,12-06-062-24W5,,,12,6,62,24,5,443737,Well Licence,January 05 2013,,Drilling Well,SAXON,Grande Prairie,26,Encana Corporation,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,01/06/2013 12:00:00 AM,,,,,,,,Drilling Mud (HC Based),3.5,5,m3,,,,,,,,,,,,,"(54.33585, -117.598133)"
January 04 2013,20130033,,,,Release,14-10-064-18W5,,,14,10,64,18,5,450915,Well Licence,January 04 2013,,Suspended Well,KAYBOB,St. Albert,A1C9,Trilogy Resources Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,,,,,,,,,,Frac Oil,4.5,,m3,,,,,,,,,,,,,"(54.5288, -116.638217)"
January 04 2013,20130025,Equipment Failure,Internal corrosion,Metal Fatigue,Release,13-06-093-12W4,0,0,13,6,93,12,4,448224,Well Licence,January 04 2013,,Drilling Well,DOVER,Bonnyville,54,Suncor Energy Inc.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Drilling Mud  (Water Based),7,,m3,,,,,,,,,,,,,"(57.044383, -111.93405)"
January 03 2013,20130022,Equipment Failure,Mechanical/Strctural,Equipment Failure,Release,10-30-042-09W4,,,10,30,42,9,4,30861,Well Licence,January 03 2013,,Service Well,KILLAM,Wainwright,A04H,Hardisty Caverns Ltd.,,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Salt/Produced Water,100,,m3,,,,,,,,,,,,,"(52.647117, -111.285617)"
January 03 2013,20130017,Operator Error,Oversight,Operator Error,Release,05-33-085-06W4,0,0,5,33,85,6,4,444781,Well Licence,January 04 2013,,Drilling Well,NEWBY,Bonnyville,226,Nexen Inc.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Drilling Mud  (Water Based),3.5,,m3,,,,,,,,,,,,,"(56.411517, -110.898167)"
January 03 2013,20130011,Operator Error,Oversight,Operator Error,Release,16-16-063-08W4,0,0,16,16,63,8,4,399518,Well Licence,January 03 2013,01/10/2013 12:00:00 AM,Oil Well,SUGDEN,Bonnyville,0HE9,Canadian Natural Resources Limited,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,01/03/2013 12:00:00 AM,,,,,,,,Crude Bitumen,0.1,0.1,m3,Waste,0,0.1,m3,,,,,,,,,"(54.454967, -111.143267)"
